product_id,category,fabric,color
148,short coat,faux leather,black
177,printed shirt,matte jersey,white
183,printed shirt,matte jersey,black
179,solid color top,matte jersey,black
188,culottes,dark jeans,blue
190,long sleeve,cady,black
166,culottes,dark jeans,blue
196,culottes,dark jeans,blue
121,short coat,faux leather,black
215,printed shirt,matte jersey,black
156,printed shirt,plush,black
178,long sleeve,acrylic,blue
203,long sleeve,cotton,blue
172,long sleeve,cotton,white
207,printed shirt,plush,grey
262,long dress,georgette,black
232,long sleeve,georgette,blue
234,sheath dress,ity,black
186,solid color top,georgette,white
219,culottes,light jeans,blue
220,culottes,plush,black
259,long sleeve,webbing,green
120,culottes,bengaline,blue
209,solid color top,matte jersey,blue
270,long sleeve,webbing,white
230,short coat,faux leather,black
244,culottes,polyviscous,black
144,jumpsuit,scuba crepe,black
249,long sleeve,jacquard,grey
258,short coat,faux leather,blue
240,long sleeve,cotton,black
124,jumpsuit,scuba crepe,black
226,short coat,faux leather,green
253,jumpsuit,polyviscous,black
241,long sleeve,cotton,white
231,long sleeve,cotton,blue
247,long sleeve,lurex,yellow
233,long sleeve,georgette,white
218,culottes,plush,grey
223,long sleeve,georgette,green
263,long sleeve,cotton,white
239,patterned top,lurex,red
267,patterned top,lurex,yellow
245,patterned top,lurex,yellow
213,long sleeve,cady,black
237,sheath dress,lurex,red
221,long sleeve,cotton,yellow
168,printed shirt,matte jersey,green
255,long sleeve,georgette,white
192,solid color top,matte jersey,black
277,short sleeves,lace,green
154,solid color top,matte jersey,red
206,long sleeve,cotton,black
261,sleeveless,lace,brown
252,sheath dress,plisse,green
194,patterned top,angora,yellow
273,long sleeve,faux leather,brown
275,short sleeves,lace,brown
268,long sleeve,faux leather,violet
235,doll dress,lace,brown
297,long sleeve,faux leather,black
136,trapeze dress,crepe,black
315,short coat,foam rubber,blue
304,doll dress,lace,brown
191,sheath dress,cady,brown
295,short coat,foam rubber,red
303,short coat,foam rubber,green
162,culottes,dark jeans,blue
180,culottes,dark jeans,blue
243,short coat,faux leather,black
287,long sleeve,georgette,black
324,culottes,cotton,black
283,short coat,foam rubber,black
281,long sleeve,polyviscous,black
312,short coat,faux leather,red
269,short coat,faux leather,black
271,short coat,faux leather,black
285,culottes,polyviscous,black
313,short coat,faux leather,brown
103,culottes,scuba crepe,green
229,long sleeve,cotton,blue
317,solid color top,lurex,violet
265,long sleeve,georgette,black
316,short coat,faux leather,black
308,culottes,technical,black
248,short coat,dark jeans,blue
300,culottes,polyviscous,black
320,solid color top,lurex,grey
242,culottes,polyviscous,black
282,solid color top,tulle,green
279,solid color top,tulle,black
187,solid color top,georgette,black
306,long sleeve,cotton,grey
286,short coat,foam rubber,brown
290,short coat,foam rubber,brown
201,sleeveless,cady,violet
260,long sleeve,silky satin,black
293,short coat,faux leather,violet
276,long sleeve,webbing,violet
329,culottes,faux leather,black
325,long sleeve,cotton,black
328,culottes,dark jeans,blue
339,medium coat,cotton,brown
157,long sleeve,cady,blue
327,long sleeve,cotton,blue
289,miniskirt,faux leather,black
318,medium coat,cotton,blue
333,long sleeve,cotton,white
338,culottes,dark jeans,blue
77,sheath dress,lace,black
189,culottes,cady,black
344,culottes,light jeans,blue
151,long sleeve,georgette,orange
251,culottes,cotton,green
341,solid color top,matte jersey,blue
323,culottes,cotton,white
227,culottes,cotton,violet
246,solid color top,georgette,green
250,solid color top,georgette,black
310,patterned top,lurex,orange
79,sleeveless,lace,brown
348,solid color top,matte jersey,grey
311,culottes,dark jeans,blue
359,short coat,light jeans,blue
362,short sleeves,georgette,yellow
352,long sleeve,cotton,brown
238,sheath dress,scuba crepe,black
345,short sleeves,georgette,white
357,long sleeve,cotton,green
336,long sleeve,dark jeans,blue
264,doll dress,lace,brown
368,long sleeve,cotton,green
346,culottes,dark jeans,blue
367,long sleeve,cotton,black
353,culottes,polyviscous,black
340,short coat,faux leather,brown
291,sleeveless,crepe,white
349,culottes,light jeans,blue
347,culottes,light jeans,blue
254,sleeveless,scuba crepe,black
375,culottes,cotton,green
236,sleeveless,crepe,black
354,culottes,light jeans,blue
335,long sleeve,faux leather,black
408,long sleeve,webbing,grey
420,long sleeve,webbing,blue
369,culottes,satin cotton,black
363,solid color top,lace,black
371,culottes,satin cotton,blue
370,culottes,satin cotton,brown
388,kimono dress,webbing,blue
380,long sleeve,cotton,yellow
390,trapeze dress,scuba crepe,violet
385,trapeze dress,scuba crepe,black
404,jumpsuit,scuba crepe,black
418,culottes,cotton,black
395,trapeze dress,scuba crepe,brown
274,doll dress,tulle,black
256,long sleeve,dainetto,brown
414,culottes,cotton,brown
407,long sleeve,scuba crepe,black
412,long sleeve,silky satin,violet
176,culottes,cady,black
384,long sleeve,cotton,red
360,short sleeves,lace,brown
405,patterned top,tulle,yellow
403,patterned top,tulle,brown
302,long sleeve,cotton,white
401,sheath dress,lace,brown
387,sleeveless,lace,brown
123,short cardigan,nice,black
374,short sleeves,lace,brown
396,long sleeve,scuba crepe,black
382,long sleeve,polyviscous,violet
377,culottes,cotton,brown
410,sleeveless,georgette,violet
391,culottes,scuba crepe,black
257,culottes,technical,black
402,kimono dress,webbing,orange
399,culottes,scuba crepe,black
342,culottes,dark jeans,blue
398,sleeveless,macrame,brown
393,long sleeve,webbing,blue
400,long sleeve,webbing,brown
378,doll dress,polyviscous,violet
364,long sleeve,webbing,brown
413,trapeze dress,scuba crepe,white
449,short sleeves,georgette,white
434,short sleeves,georgette,red
416,culottes,dark jeans,blue
383,long sleeve,cotton,blue
379,long sleeve,marocain,yellow
437,culottes,cotton,grey
423,culottes,cotton,green
321,doll dress,lace,brown
411,long sleeve,webbing,white
433,maxi,scuba crepe,blue
447,culottes,light jeans,blue
356,sleeveless,lace,black
456,long sleeve,satin cotton,brown
288,culottes,scuba crepe,black
441,sheath dress,tulle,brown
350,solid color top,lace,brown
392,long sleeve,scuba crepe,black
422,medium cardigan,webbing,brown
170,culottes,bengaline,grey
453,solid color top,macrame,black
443,culottes,light jeans,blue
305,doll dress,tulle,violet
397,short sleeves,nice,black
292,solid color top,matte jersey,brown
417,sleeveless,silky satin,black
454,patterned top,tulle,yellow
429,miniskirt,scuba crepe,black
439,sleeveless,macrame,black
425,short sleeves,nice,violet
477,doll dress,jacquard,blue
481,sleeveless,marocain,brown
504,sleeveless,marocain,blue
167,printed shirt,matte jersey,white
458,sleeveless,jacquard,black
427,long cardigan,nice,black
461,trapeze dress,scuba crepe,white
448,long sleeve,tulle,orange
484,sleeveless,lace,blue
457,culottes,satin cotton,brown
389,long sleeve,webbing,blue
469,long sleeve,marocain,blue
463,trapeze dress,scuba crepe,brown
471,long sleeve,marocain,brown
495,long sleeve,cady,white
503,culottes,satin cotton,violet
468,solid color top,tulle,blue
486,culottes,cotton,blue
494,culottes,tencel,green
509,culottes,satin cotton,blue
421,culottes,polyviscous,blue
493,medium coat,cotton,green
492,culottes,polyviscous,black
467,doll dress,lace,blue
462,solid color top,cotton,black
512,drop sleeve,marocain,brown
465,long sleeve,georgette,black
424,shirt dress,embossed,white
147,short coat,faux leather,black
474,culottes,polyviscous,blue
452,solid color top,macrame,brown
455,culottes,dark jeans,blue
446,long sleeve,cotton,white
482,long sleeve,jacquard,black
479,short sleeves,webbing,brown
40,medium coat,crepe,black
444,solid color top,macrame,violet
435,maxi,georgette,yellow
445,short sleeves,georgette,red
497,short sleeves,georgette,red
442,short sleeves,georgette,blue
464,long sleeve,cotton,black
478,short coat,nylon,grey
426,sleeveless,macrame,violet
299,culottes,bengaline,black
351,sleeveless,lace,white
510,short sleeves,georgette,white
472,culottes,cotton,black
517,trapeze dress,embossed,blue
560,culottes,polyviscous,black
386,long sleeve,marocain,white
419,long sleeve,marocain,black
553,long coat,tencel,green
491,sheath dress,jacquard,white
476,culottes,cotton,green
526,solid color top,frise,brown
524,solid color top,frise,violet
516,drop sleeve,jacquard,blue
365,long cardigan,nice,violet
535,printed shirt,matte jersey,black
508,culottes,satin cotton,brown
548,printed shirt,matte jersey,black
550,printed shirt,matte jersey,black
109,trapeze dress,scuba crepe,black
525,culottes,polyviscous,black
530,culottes,polyviscous,black
406,miniskirt,polyviscous,blue
483,printed shirt,matte jersey,black
518,culottes,bengaline,grey
488,culottes,dark jeans,blue
459,short sleeves,georgette,white
520,jumpsuit,tencel,green
431,long sleeve,scuba crepe,black
543,doll dress,lace,brown
537,sleeveless,lace,white
540,solid color top,lace,black
527,sleeveless,lace,black
578,printed shirt,matte jersey,white
565,printed shirt,matte jersey,white
600,sleeveless,georgette,red
584,long sleeve,bengaline,black
532,printed shirt,matte jersey,black
507,solid color top,matte jersey,brown
574,printed shirt,matte jersey,white
496,medium cardigan,webbing,brown
563,printed shirt,matte jersey,white
566,sleeveless,lace,brown
519,culottes,light jeans,blue
225,sheath dress,silky satin,white
591,solid color top,tulle,black
500,culottes,bengaline,black
545,short sleeves,cotton,blue
556,sleeveless,scuba crepe,grey
582,long sleeve,bengaline,black
603,long sleeve,georgette,white
615,sleeveless,polyviscous,brown
515,culottes,bengaline,blue
612,culottes,satin cotton,black
568,sleeveless,scuba crepe,black
604,culottes,satin cotton,black
589,short sleeves,cotton,white
608,printed shirt,matte jersey,black
587,trapeze dress,scuba crepe,red
595,short sleeves,lace,black
539,sleeveless,embossed,yellow
585,sleeveless,georgette,violet
572,long sleeve,webbing,black
583,culottes,satin cotton,violet
534,short sleeves,georgette,white
542,short sleeves,plisse,yellow
415,short coat,lace,black
499,shirt dress,embossed,yellow
541,long coat,tencel,brown
618,culottes,satin cotton,green
561,doll dress,lace,white
593,culottes,satin cotton,black
577,long dress,lace,brown
617,sheath dress,lace,black
609,culottes,satin cotton,blue
599,culottes,satin cotton,red
601,culottes,satin cotton,green
633,drop sleeve,georgette,blue
625,shirt dress,polyviscous,violet
586,trapeze dress,scuba crepe,black
570,culottes,light jeans,blue
506,drop sleeve,dark jeans,blue
502,long sleeve,cotton,grey
602,printed shirt,matte jersey,white
639,short sleeves,georgette,white
640,short sleeves,georgette,violet
630,shirt dress,silky satin,grey
662,shorts,light jeans,blue
592,long sleeve,embossed,white
598,long sleeve,embossed,yellow
430,long sleeve,heavy jeans,blue
624,long sleeve,heavy jeans,blue
641,doll dress,georgette,violet
642,long sleeve,satin cotton,black
557,culottes,polyviscous,black
634,long sleeve,satin cotton,red
619,miniskirt,cotton,green
551,long sleeve,webbing,white
613,sleeveless,georgette,white
296,long sleeve,chanel,yellow
645,culottes,bengaline,black
480,sleeveless,plisse,yellow
649,sleeveless,georgette,white
650,sheath dress,tulle,black
647,long sleeve,cotton,blue
636,kimono dress,georgette,white
622,solid color top,paillettes,white
631,solid color top,paillettes,blue
644,sleeveless,georgette,black
638,culottes,cotton,white
635,short coat,faux leather,black
621,printed shirt,paillettes,grey
616,long sleeve,polyviscous,brown
656,patterned top,matte jersey,black
657,drop sleeve,georgette,black
681,kimono dress,frise,white
667,short sleeves,tulle,white
697,kimono dress,frise,green
655,sleeveless,matte jersey,brown
672,long sleeve,cotton,yellow
514,printed shirt,paillettes,grey
699,kimono dress,frise,blue
554,printed shirt,paillettes,white
698,kimono dress,frise,violet
643,culottes,bengaline,black
671,culottes,dark jeans,blue
668,long sleeve,bengaline,black
679,culottes,cotton,brown
690,culottes,cotton,green
686,culottes,satin cotton,black
702,printed shirt,matte jersey,white
605,solid color top,frise,white
700,printed shirt,matte jersey,grey
648,short coat,faux leather,green
691,solid color top,matte jersey,black
680,culottes,satin cotton,grey
669,drop sleeve,embossed,black
709,culottes,cotton,black
687,culottes,cotton,violet
626,solid color top,paillettes,white
677,sleeveless,tulle,black
666,drop sleeve,georgette,white
673,drop sleeve,embossed,white
632,culottes,light jeans,blue
607,long sleeve,embossed,white
646,culottes,dark jeans,blue
693,sleeveless,georgette,yellow
660,long sleeve,chine crepe,green
696,sleeveless,georgette,black
653,sleeveless,georgette,white
658,long sleeve,chine crepe,white
664,long sleeve,chine crepe,yellow
683,printed shirt,matte jersey,white
692,printed shirt,matte jersey,white
705,printed shirt,matte jersey,grey
665,patterned top,matte jersey,black
711,solid color top,matte jersey,black
651,short sleeves,cotton,violet
688,printed shirt,matte jersey,grey
661,sleeveless,georgette,blue
689,sleeveless,georgette,green
703,printed shirt,matte jersey,black
682,solid color top,matte jersey,brown
712,solid color top,matte jersey,violet
394,short sleeves,georgette,white
716,long dress,georgette,violet
726,culottes,georgette,violet
552,short sleeves,lace,white
536,sleeveless,georgette,white
717,solid color top,lurex,yellow
63,long sleeve,tulle,red
713,culottes,satin cotton,black
734,culottes,jacquard,blue
729,solid color top,tulle,yellow
730,kimono dress,frise,violet
728,long sleeve,jacquard,grey
719,shorts,macrame,black
736,shorts,macrame,brown
676,short sleeves,chambree,blue
707,solid color top,matte jersey,black
733,drop sleeve,jacquard,blue
710,kimono dress,frise,black
727,solid color top,matte jersey,red
130,culottes,crepe,green
718,short sleeves,tulle,blue
695,solid color top,matte jersey,grey
738,patterned top,matte jersey,black
756,doll dress,embossed,black
759,doll dress,embossed,black
755,kimono dress,webbing,red
757,sleeveless,georgette,yellow
724,medium cardigan,webbing,blue
758,sleeveless,georgette,black
742,culottes,cotton,green
740,sleeveless,frise,violet
721,sleeveless,silky satin,violet
763,long sleeve,bengaline,green
754,long sleeve,embossed,black
781,sleeveless,cotton,black
778,sleeveless,cotton,yellow
769,culottes,satin cotton,black
772,culottes,satin cotton,green
559,culottes,cady,white
773,culottes,bengaline,white
745,short sleeves,cotton,white
762,culottes,bengaline,green
751,sheath dress,jacquard,blue
737,printed shirt,matte jersey,white
735,printed shirt,matte jersey,black
739,printed shirt,matte jersey,black
748,doll dress,jacquard,black
372,culottes,cotton,black
774,long dress,georgette,black
765,short sleeves,cotton,black
771,short sleeves,cotton,white
764,short sleeves,cotton,red
606,short sleeves,lace,red
546,culottes,polyviscous,white
381,culottes,polyviscous,violet
732,sleeveless,jacquard,white
725,sheath dress,jacquard,blue
746,printed shirt,matte jersey,white
753,patterned top,tulle,white
722,solid color top,matte jersey,green
743,sheath dress,tulle,blue
694,solid color top,matte jersey,brown
776,drop sleeve,linen,green
768,long dress,matte jersey,brown
752,doll dress,lace,violet
747,patterned top,matte jersey,violet
760,sleeveless,lace,blue
704,sleeveless,georgette,violet
761,solid color top,tulle,red
767,short sleeves,embossed,black
579,short sleeves,georgette,black
775,drop sleeve,matte jersey,brown
766,short sleeves,embossed,brown
779,long sleeve,muslin cotton or silk,white
531,long coat,tencel,grey
731,solid color top,lurex,yellow
723,solid color top,matte jersey,white
720,solid color top,matte jersey,black
749,solid color top,matte jersey,yellow
547,solid color top,matte jersey,black
837,capris,cotton,black
795,culottes,linen,blue
794,patterned top,tactel,green
818,capris,cotton,white
797,patterned top,tactel,green
792,patterned top,tactel,white
822,patterned top,matte jersey,black
787,culottes,linen,brown
808,culottes,satin cotton,blue
826,culottes,satin cotton,brown
825,culottes,satin cotton,black
783,patterned top,tulle,black
812,solid color top,matte jersey,white
828,drop sleeve,bengaline,yellow
784,patterned top,tulle,white
799,culottes,linen,grey
827,culottes,satin cotton,brown
801,culottes,linen,green
820,long sleeve,georgette,yellow
819,jumpsuit,embossed,green
821,jumpsuit,embossed,black
793,trapeze dress,georgette,yellow
816,short coat,lace,black
750,long sleeve,jacquard,blue
790,sleeveless,cotton,black
811,sleeveless,cotton,yellow
824,sheath dress,georgette,yellow
788,solid color top,lurex,brown
789,solid color top,lurex,grey
802,solid color top,lurex,green
800,short coat,light jeans,blue
814,doll dress,embossed,black
770,long dress,muslin cotton or silk,white
805,shorts,cotton,green
573,solid color top,matte jersey,black
786,short sleeves,georgette,white
791,patterned top,tactel,blue
796,trapeze dress,georgette,black
815,shorts,light jeans,blue
836,shorts,cotton,black
798,sleeveless,webbing,red
809,shirt dress,cotton,black
804,patterned top,matte jersey,red
803,printed shirt,matte jersey,white
785,patterned top,matte jersey,brown
806,shirt dress,cotton,blue
823,shorts,light jeans,blue
627,short sleeves,cotton,black
830,shorts,cotton,black
849,culottes,viscose twill,black
874,capris,bengaline,white
859,culottes,viscose twill,blue
851,drop sleeve,bengaline,violet
807,short sleeves,cotton,brown
857,culottes,viscose twill,green
850,sleeveless,georgette,white
840,long dress,viscose twill,white
845,long dress,viscose twill,black
853,jumpsuit,chambree,blue
125,trapeze dress,faux leather,green
864,capris,bengaline,black
744,short sleeves,cotton,red
852,culottes,bengaline,violet
294,sheath dress,plisse,black
654,shirt dress,chambree,white
741,short sleeves,cotton,violet
838,drop sleeve,cotton,white
122,solid color top,lurex,grey
832,sleeveless,georgette,blue
842,sleeveless,georgette,yellow
839,sleeveless,georgette,red
854,short sleeves,georgette,yellow
847,drop sleeve,muslin cotton or silk,white
848,long dress,georgette,brown
866,culottes,chambree,blue
863,sheath dress,muslin cotton or silk,brown
855,drop sleeve,bengaline,blue
870,sleeveless,georgette,green
856,drop sleeve,muslin cotton or silk,white
860,culottes,cotton,blue
871,solid color top,viscose twill,blue
872,sleeveless,georgette,yellow
844,sleeveless,georgette,red
813,short sleeves,embossed,black
334,solid color top,lurex,violet
39,long cardigan,nice,brown
861,patterned top,tulle,white
868,sleeveless,muslin cotton or silk,brown
862,patterned top,tulle,black
829,long sleeve,muslin cotton or silk,green
846,solid color top,matte jersey,green
835,long sleeve,muslin cotton or silk,blue
833,short coat,lace,black
841,sleeveless,cotton,white
782,jumpsuit,muslin cotton or silk,white
858,sheath dress,georgette,blue
817,solid color top,matte jersey,black
895,long sleeve,muslin cotton or silk,blue
879,patterned top,tulle,white
906,shorts,cotton,white
878,shorts,cotton,green
869,drop sleeve,linen,blue
893,patterned top,tulle,white
910,long dress,viscose twill,brown
918,long dress,viscose twill,orange
889,culottes,bengaline,blue
921,long dress,cotton,brown
891,shorts,cotton,black
928,shorts,cotton,brown
685,solid color top,cotton,green
892,patterned top,tulle,white
714,patterned top,matte jersey,red
926,drop sleeve,linen,white
909,drop sleeve,linen,white
876,patterned top,tulle,white
887,sleeveless,embossed,violet
913,sleeveless,matte jersey,black
216,trapeze dress,scuba crepe,yellow
549,long dress,georgette,blue
916,patterned top,tulle,white
931,culottes,linen,blue
875,trapeze dress,chambree,blue
884,long sleeve,muslin cotton or silk,brown
834,jumpsuit,cotton,black
888,patterned top,tulle,white
900,patterned top,tulle,orange
873,long dress,chambree,blue
885,sleeveless,tulle,green
890,solid color top,tulle,white
880,solid color top,tulle,blue
898,solid color top,tulle,green
908,short sleeves,chine crepe,green
896,sleeveless,tulle,blue
886,sleeveless,chine crepe,yellow
899,sleeveless,chine crepe,yellow
881,short sleeves,chine crepe,blue
883,capris,bengaline,violet
882,short sleeves,chine crepe,white
867,long dress,muslin cotton or silk,brown
865,solid color top,matte jersey,blue
902,sheath dress,georgette,yellow
903,sleeveless,georgette,yellow
897,jumpsuit,cotton,yellow
937,short sleeves,chine crepe,yellow
901,solid color top,matte jersey,blue
930,culottes,linen,black
915,culottes,cotton,brown
877,long dress,muslin cotton or silk,blue
929,culottes,linen,green
780,solid color top,matte jersey,white
907,sleeveless,georgette,blue
706,short sleeves,georgette,yellow
934,long dress,matte jersey,red
505,sleeveless,georgette,black
920,solid color top,frise,brown
912,solid color top,frise,blue
57,short sleeves,plisse,grey
924,sleeveless,viscose twill,brown
85,shorts,nice,black
904,long dress,georgette,black
935,patterned top,tulle,white
927,short sleeves,viscose twill,brown
943,patterned top,tulle,white
939,patterned top,tulle,black
940,patterned top,tulle,white
936,patterned top,tulle,white
946,culottes,viscose twill,green
914,long sleeve,cotton,yellow
569,long sleeve,cotton,black
950,shorts,linen,green
942,long dress,chine crepe,yellow
911,sleeveless,chine crepe,yellow
905,medium cardigan,webbing,blue
951,long sleeve,viscose twill,green
843,long sleeve,muslin cotton or silk,green
947,long sleeve,viscose twill,yellow
932,solid color top,frise,brown
917,solid color top,frise,green
922,solid color top,frise,black
919,short sleeves,georgette,blue
952,sleeveless,cotton,green
949,long dress,viscose twill,green
894,solid color top,matte jersey,green
941,short sleeves,viscose twill,brown
208,trapeze dress,faux leather,green
501,solid color top,scuba crepe,black
923,kimono dress,webbing,brown
620,sheath dress,lace,red
967,long dress,georgette,yellow
110,sheath dress,lace,green
957,sleeveless,georgette,violet
963,sleeveless,matte jersey,black
970,sleeveless,acrylic,violet
972,long dress,embossed,black
956,sheath dress,matte jersey,brown
32,trapeze dress,lurex,violet
968,sleeveless,webbing,green
933,maxi,cotton,blue
831,jumpsuit,cotton,black
961,short sleeves,georgette,black
971,sleeveless,webbing,blue
966,sleeveless,webbing,black
960,short sleeves,georgette,green
948,drop sleeve,cotton,grey
955,solid color top,embossed,black
959,culottes,embossed,green
962,culottes,embossed,black
715,solid color top,cotton,black
958,solid color top,matte jersey,green
976,culottes,cotton,brown
185,sheath dress,cady,black
975,patterned top,tulle,white
973,patterned top,tulle,black
990,long dress,embossed,black
983,trapeze dress,embossed,black
993,long dress,georgette,black
567,solid color top,matte jersey,violet
987,sleeveless,lace,white
992,long sleeve,georgette,black
571,culottes,polyviscous,brown
361,solid color top,lace,blue
989,long dress,tulle,black
985,solid color top,matte jersey,black
986,long dress,tulle,blue
988,long dress,embossed,yellow
982,sleeveless,georgette,brown
991,sleeveless,georgette,black
997,culottes,cotton,violet
965,patterned top,tulle,black
978,culottes,cotton,green
944,long sleeve,cotton,white
996,culottes,viscose twill,black
977,culottes,cotton,white
994,jumpsuit,cotton,grey
979,culottes,cotton,blue
969,culottes,cotton,black
984,solid color top,georgette,black
278,sleeveless,plisse,green
938,short sleeves,georgette,yellow
217,sleeveless,plisse,green
964,sleeveless,webbing,brown
66,doll dress,plisse,grey
998,jumpsuit,embossed,black
1008,culottes,cotton,green
1007,culottes,cotton,black
466,miniskirt,cady,white
1006,culottes,embossed,black
1013,culottes,embossed,black
1009,sleeveless,georgette,red
995,long sleeve,faux leather,black
1014,kimono dress,webbing,blue
1012,kimono dress,webbing,black
1005,kimono dress,webbing,green
1002,sleeveless,georgette,white
307,sheath dress,scuba crepe,black
1003,sleeveless,embossed,black
1004,sleeveless,embossed,black
953,long sleeve,cotton,blue
981,jumpsuit,cotton,blue
409,long coat,cotton,black
999,patterned top,tulle,white
71,short coat,lace,black
1000,patterned top,tulle,white
628,short coat,faux leather,black
30,long sleeve,tulle,green
108,trapeze dress,scuba crepe,red
366,short sleeves,georgette,violet
319,sheath dress,plisse,black
210,doll dress,plisse,green
298,sleeveless,plisse,brown
954,long sleeve,cotton,brown
211,short coat,silky satin,black
65,sleeveless,plisse,grey
160,short coat,silky satin,black
332,kimono dress,cady,white
145,long sleeve,georgette,black
50,doll dress,tulle,grey
358,sleeveless,plisse,grey
131,solid color top,frise,black
204,solid color top,tulle,black
228,doll dress,plumetis,violet
1010,sleeveless,georgette,brown
1016,solid color top,georgette,black
101,sleeveless,nice,black
161,drop sleeve,faux leather,green
1011,sleeveless,georgette,blue
581,sheath dress,scuba crepe,black
98,sleeveless,nice,brown
1021,culottes,satin cotton,black
490,medium coat,cotton,green
1024,long dress,matte jersey,white
575,kimono dress,scuba crepe,black
343,long coat,cotton,black
330,long coat,cotton,red
197,patterned top,angora,yellow
70,sleeveless,velvet,black
59,sleeveless,velvet,red
266,sleeveless,georgette,white
528,doll dress,faux leather,black
158,solid color top,frise,black
199,sleeveless,cady,green
701,long sleeve,frise,black
314,patterned top,cady,white
205,solid color top,tulle,green
1023,long dress,georgette,white
470,solid color top,matte jersey,black
1018,long dress,georgette,green
451,medium coat,cotton,red
64,trapeze dress,scuba crepe,black
78,long sleeve,georgette,black
777,patterned top,matte jersey,black
42,doll dress,tulle,violet
522,printed shirt,matte jersey,grey
529,shirt dress,cotton,white
1026,long sleeve,georgette,black
594,patterned top,paillettes,green
1027,long dress,georgette,blue
1020,sleeveless,georgette,white
1046,culottes,bengaline,brown
1034,sheath dress,georgette,black
272,culottes,polyviscous,blue
1029,long dress,embossed,black
49,medium coat,crepe,grey
1030,long sleeve,embossed,black
1031,long dress,embossed,black
43,solid color top,tulle,grey
533,solid color top,frise,violet
1033,long dress,matte jersey,green
1044,short sleeves,georgette,black
1035,sleeveless,georgette,white
1037,trapeze dress,georgette,red
1028,sleeveless,faux leather,black
1041,sleeveless,georgette,white
1043,doll dress,tulle,black
1040,sleeveless,georgette,red
1019,long dress,georgette,red
432,kimono dress,nice,yellow
322,long sleeve,technical,black
182,long sleeve,cady,green
564,culottes,light jeans,blue
1022,culottes,satin cotton,blue
1036,culottes,embossed,black
1076,sleeveless,georgette,black
1068,sleeveless,georgette,blue
1015,printed shirt,matte jersey,white
675,shirt dress,embossed,white
1058,printed shirt,matte jersey,white
1038,solid color top,georgette,violet
