product_id,location_id,price,date_of_sale
4381,110,10.1,2019-08-12
5196,100,84.6,2019-06-17
1292,47,90.2,2017-09-25
1644,61,93.9,2017-12-18
4019,22,43.5,2019-04-15
2,36,16.5,2016-11-28
784,11,88.4,2017-08-07
5409,92,61.7,2019-12-09
1397,51,19.0,2017-10-23
3332,52,34.7,2018-12-31
915,19,83.8,2017-05-29
5501,30,6.6,2020-01-20
1241,46,13.2,2017-10-09
5133,8,57.7,2019-06-10
1563,73,14.4,2017-10-23
2413,12,4.5,2018-05-07
4944,64,30.6,2019-11-04
4485,2,25.4,2019-08-12
3554,39,93.3,2018-12-31
4485,28,32.8,2019-08-05
2207,16,97.9,2018-04-16
4016,59,3.9,2019-03-18
5068,72,33.5,2019-11-11
4641,110,18.3,2019-09-30
5080,115,82.3,2019-12-23
320,22,51.4,2017-05-08
4362,90,36.1,2019-07-29
5242,0,85.8,2019-07-08
4661,30,84.1,2019-09-02
5250,51,76.9,2019-08-19
4829,65,32.7,2019-10-21
1377,30,3.4,2017-09-25
4222,93,77.2,2019-07-01
4857,2,40.1,2019-12-09
2955,47,14.2,2018-08-13
4033,14,26.6,2019-04-22
2524,18,79.2,2018-06-25
5244,82,55.9,2019-06-10
5437,76,92.0,2019-11-25
4933,77,77.6,2019-12-30
858,15,96.4,2017-06-26
1590,32,42.6,2017-11-06
2116,24,89.3,2018-03-26
1702,72,95.8,2017-11-20
5448,69,51.6,2019-12-02
3382,28,18.3,2018-12-17
2346,72,6.7,2018-05-14
2352,19,68.5,2018-06-04
2657,1,7.7,2018-08-06
4503,69,64.8,2019-09-23
3620,81,66.7,2019-01-07
2421,68,61.0,2018-05-28
3331,93,91.6,2018-12-31
1034,12,36.8,2017-07-31
3877,76,11.9,2019-03-11
978,60,91.1,2017-06-12
5114,3,79.0,2019-07-15
2725,18,97.9,2018-07-30
939,20,94.2,2017-07-10
3608,3,69.4,2019-01-07
4212,84,63.2,2019-06-10
795,5,20.0,2017-05-15
2099,4,20.9,2018-04-16
4988,88,92.6,2019-11-11
4935,12,13.2,2019-12-09
2641,57,19.4,2018-08-20
1505,63,12.7,2017-10-16
4856,14,5.2,2019-09-30
1719,35,41.2,2017-12-25
4267,90,48.7,2019-07-08
2907,20,29.3,2018-10-15
1074,8,39.4,2017-09-11
4209,99,69.6,2019-05-27
4615,36,4.1,2019-08-26
1675,10,75.0,2017-12-25
4586,69,93.0,2019-08-26
2553,24,67.9,2018-07-30
5253,38,75.7,2019-07-29
1848,36,31.0,2018-01-08
5133,57,60.4,2019-05-27
68,12,67.0,2017-03-13
4939,86,46.3,2019-12-02
3555,8,66.6,2018-12-17
969,51,44.6,2017-06-05
4100,35,65.3,2019-05-06
1103,26,49.1,2017-09-18
2666,39,29.6,2018-07-09
906,36,42.5,2017-05-29
1408,40,55.8,2017-10-23
5085,20,92.6,2019-05-13
3165,68,74.2,2018-11-19
3524,2,35.2,2018-12-31
797,4,7.0,2017-07-03
2427,14,41.0,2018-05-07
895,1,7.5,2017-07-17
5100,46,88.7,2019-04-22
4870,36,58.4,2019-11-04
4031,30,58.7,2019-03-04
4609,107,57.8,2019-10-07
3133,73,34.7,2018-11-12
1420,15,85.9,2017-10-16
5337,36,84.6,2019-12-30
841,37,79.4,2017-07-24
5516,115,92.8,2019-12-23
193,20,93.6,2017-02-06
543,7,94.2,2017-05-01
859,42,56.6,2017-07-03
1352,13,30.7,2017-11-13
285,22,2.2,2017-02-20
1454,35,78.8,2017-10-16
661,17,34.0,2017-07-24
2883,85,88.1,2018-08-27
5363,19,56.5,2019-10-28
4224,85,31.5,2019-06-17
2565,16,69.8,2018-07-02
1509,4,37.7,2017-12-11
3542,29,38.3,2019-01-14
5200,77,31.3,2019-06-03
581,45,67.0,2017-09-04
467,31,39.2,2017-05-22
3572,62,83.1,2019-01-07
736,7,2.1,2017-06-12
5244,99,84.9,2019-07-08
5416,85,46.4,2020-01-06
2101,30,82.8,2018-02-26
4917,100,45.5,2019-10-14
3207,18,68.2,2018-10-22
4568,47,56.7,2019-08-12
5115,36,40.5,2019-04-22
863,30,63.3,2017-07-31
4870,9,11.3,2019-09-30
2970,73,96.5,2018-08-20
3970,4,1.0,2019-04-22
3285,6,89.0,2018-10-08
1779,1,36.2,2018-01-29
4236,85,56.6,2019-04-22
730,45,13.6,2017-05-22
1360,35,68.2,2017-09-18
5313,12,13.1,2019-06-03
2454,59,79.4,2018-05-14
2589,8,12.4,2018-07-09
5054,67,67.3,2020-01-13
2081,53,31.2,2018-03-19
2002,8,13.2,2018-03-26
5532,72,35.3,2019-12-09
5483,73,15.3,2019-11-25
2749,69,5.7,2018-08-13
4651,80,54.6,2019-10-14
4079,86,81.9,2019-05-06
4487,64,4.5,2019-08-05
4250,24,31.9,2019-08-05
1008,30,84.9,2017-08-21
941,8,89.8,2017-07-03
3235,46,21.7,2018-11-19
4961,7,50.3,2019-10-21
4994,3,28.6,2019-12-02
648,49,26.6,2017-04-24
857,13,23.5,2017-05-29
3621,82,10.0,2019-01-28
2507,16,56.3,2018-07-23
862,36,88.2,2017-07-24
2954,40,55.7,2018-09-10
4871,75,91.7,2019-10-28
3246,73,6.8,2018-11-19
3369,75,23.8,2018-12-31
4996,12,60.4,2019-10-28
3719,73,6.5,2019-01-07
5407,115,91.4,2020-01-20
75,10,30.1,2017-01-23
3003,15,12.0,2018-09-24
1243,40,12.9,2017-10-23
4060,29,12.0,2019-04-08
1864,36,83.4,2017-12-18
3287,1,62.3,2018-12-24
5315,7,21.3,2019-07-29
962,49,4.7,2017-07-03
4173,20,50.1,2019-04-22
2565,79,25.1,2018-05-28
2477,26,4.7,2018-07-02
3965,12,20.0,2019-04-22
4570,6,99.4,2020-02-17
2099,55,70.9,2018-02-26
5556,51,94.1,2019-12-30
5414,100,49.3,2019-12-16
4222,99,16.6,2019-06-17
4998,24,50.1,2019-11-25
5193,27,52.1,2019-08-19
808,2,45.4,2017-07-03
1815,31,72.8,2017-12-11
1049,30,38.6,2017-09-11
31,10,56.8,2016-12-19
1273,65,64.5,2017-11-06
4209,13,99.1,2019-06-03
3095,30,19.0,2018-09-24
689,20,24.4,2017-06-19
2337,8,15.2,2018-06-25
5004,39,3.9,2019-12-16
2006,45,44.3,2018-02-19
4301,5,20.9,2019-07-29
4603,7,46.6,2019-10-21
1781,36,4.4,2018-01-15
5124,7,73.7,2019-06-10
2319,79,3.6,2018-07-02
4655,22,13.0,2019-09-30
5245,48,41.2,2019-07-22
1658,31,47.6,2017-11-27
4691,31,66.6,2019-11-11
2034,64,89.1,2018-03-26
5176,72,88.0,2019-05-06
2146,30,42.8,2018-03-19
1428,38,57.4,2017-11-27
4311,80,18.3,2019-08-05
3484,65,90.3,2019-02-04
3763,56,84.5,2019-01-14
1295,29,66.9,2017-09-11
4224,32,94.8,2019-07-01
1233,29,38.6,2017-09-25
2944,86,36.0,2018-09-17
5458,82,8.7,2019-12-02
4219,91,72.5,2019-08-05
2772,29,21.2,2018-07-23
4960,33,2.6,2019-10-28
5326,66,4.1,2019-07-01
2912,20,51.0,2018-08-27
2494,30,33.5,2018-05-07
2561,61,52.7,2018-07-16
979,46,71.3,2017-08-07
1668,62,64.4,2017-11-20
2578,43,59.2,2018-07-16
2141,17,41.1,2018-05-14
336,7,87.0,2017-05-15
3175,72,31.5,2018-11-05
4950,82,72.1,2019-11-04
756,7,21.1,2017-05-29
4184,16,78.5,2019-06-24
3783,36,10.3,2019-02-04
5264,86,96.3,2019-05-13
2685,85,17.9,2018-06-18
3739,31,65.2,2019-02-18
5313,66,84.1,2019-07-08
4980,30,37.7,2019-12-16
929,54,1.5,2017-06-05
1530,26,44.4,2017-12-18
1173,41,65.7,2017-08-21
2881,84,15.6,2018-09-10
2339,36,44.5,2018-04-23
2514,54,72.3,2018-07-09
2541,68,66.7,2018-05-21
2346,82,65.4,2018-06-11
4731,86,70.7,2019-09-23
5121,86,56.6,2019-06-10
3429,1,97.7,2018-12-17
849,58,89.0,2017-06-19
5102,65,80.2,2019-06-03
5208,6,35.0,2019-05-13
1318,36,17.9,2017-10-23
2970,28,40.5,2018-09-24
4704,80,47.7,2019-09-23
5001,2,79.6,2019-12-09
5209,56,27.3,2019-07-08
2373,52,1.5,2018-05-28
1497,22,85.8,2017-11-20
2368,5,88.2,2018-05-21
1404,10,43.3,2017-10-02
2047,12,68.2,2018-02-19
3804,99,64.5,2019-07-01
1745,10,41.0,2017-11-20
1537,0,33.0,2017-11-20
4762,73,97.5,2019-11-18
680,32,19.4,2017-06-19
634,54,42.0,2017-04-17
4209,30,54.7,2019-06-10
1203,20,75.7,2017-08-28
2194,56,28.0,2018-05-21
4704,47,67.5,2019-09-23
5450,81,21.2,2019-12-09
2524,49,78.8,2018-05-28
1574,0,3.5,2017-12-11
1824,29,22.2,2018-01-22
5490,8,78.5,2019-12-02
3308,49,59.5,2018-10-29
2920,36,60.0,2018-09-10
3922,43,46.7,2019-04-01
3564,82,43.4,2019-01-07
2272,31,48.9,2018-06-04
3618,2,53.7,2019-02-04
847,36,30.4,2017-06-05
4615,77,49.1,2019-10-21
4252,60,26.9,2019-08-19
2080,68,24.0,2018-04-02
1547,10,95.5,2017-10-23
2834,13,20.1,2018-09-03
5195,75,41.3,2019-06-03
2061,28,88.7,2018-05-14
5126,95,82.1,2019-06-17
4668,14,10.8,2019-10-14
4743,53,50.1,2019-10-07
4682,56,40.2,2019-09-16
3603,18,6.6,2018-12-24
3631,100,87.4,2019-01-07
2833,33,81.8,2018-08-13
5099,9,16.7,2019-07-01
4985,60,6.0,2019-12-09
4312,72,81.5,2019-06-17
1435,41,21.9,2017-11-06
5354,85,80.5,2020-01-06
3558,22,86.5,2018-12-17
2386,65,31.4,2018-06-11
1590,72,32.9,2017-12-04
1822,20,8.0,2018-01-22
4853,24,59.8,2019-10-21
2807,69,6.3,2018-09-10
227,40,12.0,2017-02-20
2876,19,63.8,2018-08-13
4840,89,86.6,2019-11-25
1659,29,60.0,2017-10-30
1083,9,75.6,2017-09-11
5033,15,75.6,2019-10-21
3341,80,29.3,2019-01-07
2386,3,79.4,2018-05-14
1790,36,28.2,2017-12-11
5193,43,85.5,2019-05-27
1805,43,42.1,2018-01-22
4212,64,98.1,2019-05-06
4808,22,35.3,2019-10-21
4680,106,49.4,2019-10-21
4981,30,20.6,2019-12-02
185,63,11.0,2017-06-26
1558,48,83.6,2017-11-06
2918,66,64.6,2018-09-17
5021,110,7.9,2019-10-21
2324,29,9.5,2018-04-23
1644,14,72.6,2018-01-01
2589,50,48.3,2018-06-11
5534,121,7.1,2020-02-24
5393,109,92.1,2019-11-18
4798,10,21.8,2019-12-02
4264,38,29.8,2019-08-26
4748,72,91.2,2019-10-14
5244,84,28.7,2019-07-01
3002,13,49.3,2018-11-19
4150,36,56.0,2019-05-20
2034,52,71.1,2018-03-05
5438,31,1.7,2019-11-18
3221,29,2.6,2018-10-08
4465,89,3.5,2019-08-19
4796,110,83.1,2019-09-16
3914,19,48.7,2019-04-01
803,18,97.2,2017-05-01
821,58,91.6,2017-07-03
3556,81,54.1,2018-12-31
764,37,53.1,2017-05-29
3024,43,74.9,2018-09-24
2656,3,85.8,2018-08-20
1857,22,55.0,2018-01-15
3244,81,2.9,2018-10-22
4582,35,27.7,2019-08-26
5173,94,33.6,2019-04-29
2561,84,86.9,2018-07-16
4971,26,45.6,2019-10-21
2978,86,63.6,2018-09-10
2098,75,56.2,2018-03-05
988,54,70.3,2017-07-10
1846,22,63.5,2017-12-18
4038,41,12.6,2019-05-13
5224,18,77.9,2019-06-03
4939,5,61.8,2019-12-09
2711,86,86.4,2018-07-30
3432,12,3.0,2019-01-07
2504,14,94.9,2018-06-25
3979,56,7.4,2019-04-29
4228,47,6.8,2019-05-13
3228,59,54.6,2018-12-24
5309,81,63.5,2019-07-15
3088,22,12.9,2018-10-15
2449,29,80.2,2018-05-21
2655,46,43.8,2018-07-16
4987,88,94.7,2019-12-30
3315,14,88.6,2018-11-12
3966,46,11.9,2019-04-08
3972,49,59.1,2019-03-11
2095,41,19.1,2018-04-02
3969,7,99.8,2019-04-22
915,47,6.9,2017-07-31
2950,66,71.1,2018-09-10
1101,20,63.3,2017-09-18
4252,52,40.8,2019-08-12
1460,66,72.7,2017-10-16
5575,32,48.0,2019-12-16
2565,42,92.9,2018-06-04
2353,46,47.7,2018-07-02
4913,41,28.8,2019-10-07
5220,77,30.1,2019-07-01
5089,47,47.9,2019-05-27
3550,101,66.2,2018-12-24
1115,28,58.2,2017-09-25
1852,19,44.6,2018-02-05
4744,82,5.0,2019-11-11
3114,30,54.5,2018-12-10
5094,43,74.1,2019-04-29
730,19,27.8,2017-05-22
585,16,32.4,2017-05-15
1745,22,66.2,2017-11-20
1898,13,50.1,2018-02-26
4267,12,32.5,2019-07-01
3003,26,48.8,2018-11-05
2306,3,17.2,2018-04-09
5417,61,35.4,2020-01-06
4062,40,8.0,2019-04-08
2622,82,94.0,2018-07-16
1448,16,31.9,2017-10-23
1514,43,40.4,2017-10-09
1656,61,2.3,2018-01-08
3133,46,29.8,2018-11-05
5575,85,29.7,2019-12-30
5527,1,35.1,2020-02-03
2008,43,45.4,2018-03-26
784,29,93.8,2017-05-08
4699,88,96.0,2019-09-30
774,7,60.8,2017-05-15
2658,4,79.3,2018-07-09
1259,3,41.6,2017-09-11
1298,18,3.6,2017-10-09
2315,69,39.8,2018-07-02
1557,72,18.8,2017-12-25
155,40,44.3,2017-07-03
4132,31,19.0,2019-05-20
947,18,36.6,2017-07-10
2295,43,53.3,2018-05-28
5337,8,39.9,2019-11-11
5218,77,2.5,2019-06-24
2519,33,43.0,2018-05-28
4042,43,64.8,2019-05-13
4440,66,93.2,2019-07-22
3649,84,53.9,2019-03-11
2349,41,59.0,2018-05-14
3814,82,2.6,2019-02-04
2048,10,51.9,2018-03-12
1505,21,38.7,2017-12-11
4333,41,82.3,2019-08-12
649,49,89.4,2017-06-12
4005,15,77.0,2019-03-04
680,24,24.3,2017-07-03
1732,41,21.9,2018-02-05
1767,25,17.8,2018-01-01
5226,45,4.8,2019-07-08
932,36,92.4,2017-06-12
3487,30,20.7,2018-12-31
5445,43,6.5,2019-12-30
1077,19,32.9,2017-08-21
2358,82,22.3,2018-06-04
1644,45,32.1,2017-12-04
3785,2,27.2,2019-01-28
1517,3,34.3,2017-10-23
482,20,57.7,2017-05-29
1476,42,59.1,2017-12-11
4375,18,66.9,2019-07-22
2320,36,96.7,2018-06-11
4439,35,50.3,2019-08-26
5432,14,44.4,2019-12-23
2034,56,42.4,2018-03-05
5558,45,30.4,2020-01-20
3012,46,9.7,2018-10-22
683,46,21.0,2017-06-19
4362,85,33.6,2019-06-24
3981,68,91.1,2019-05-13
3558,43,55.6,2019-01-14
5526,19,27.6,2020-01-27
1962,6,54.6,2018-01-22
5339,109,27.9,2019-11-11
1862,47,76.0,2017-12-25
4809,32,88.0,2019-11-25
4221,13,29.2,2019-05-06
1493,16,2.4,2017-10-30
3475,13,61.3,2019-01-07
4227,23,91.6,2019-04-29
4916,72,44.5,2019-11-04
4850,83,60.2,2019-11-11
306,36,34.5,2017-04-03
3421,56,63.5,2018-12-17
604,54,31.9,2017-04-10
1672,3,49.2,2017-12-04
4656,77,16.0,2019-09-09
253,43,51.1,2017-04-17
2183,69,88.5,2018-03-12
3507,29,31.7,2019-02-04
3162,84,84.8,2018-11-19
1712,13,58.5,2018-01-22
4528,65,55.1,2019-08-19
4026,69,13.0,2019-04-01
2476,19,19.5,2018-07-09
2452,45,63.5,2018-05-21
5522,16,49.3,2019-12-02
3320,15,78.6,2018-12-03
3293,10,99.0,2018-10-15
3942,85,10.3,2019-03-18
716,12,89.8,2017-05-01
1287,29,85.0,2017-09-18
1514,65,86.4,2017-10-09
3114,35,76.3,2018-09-17
5104,12,76.5,2019-04-22
4377,57,8.0,2019-07-08
1350,15,14.1,2017-09-18
2678,50,4.9,2018-07-23
5437,76,9.8,2020-02-03
5311,3,54.9,2019-08-05
1677,19,34.6,2018-02-05
4933,115,35.4,2019-12-02
5404,94,56.4,2019-12-09
705,65,10.8,2017-05-08
174,0,31.6,2017-02-27
641,44,72.6,2017-07-24
3537,7,28.9,2019-02-11
3343,30,12.9,2018-11-12
3162,22,76.7,2018-10-22
4830,72,12.3,2019-10-14
4669,36,98.6,2019-10-21
918,23,43.4,2017-07-03
2348,32,53.3,2018-05-28
5130,3,88.5,2019-06-17
5421,76,41.7,2019-11-25
5020,115,43.9,2019-11-18
3204,15,30.7,2018-11-12
341,46,42.8,2017-03-27
4047,29,54.6,2019-04-29
5368,80,47.1,2019-11-18
5246,52,17.4,2019-06-17
1849,19,37.4,2018-01-08
2913,8,59.3,2018-09-03
2936,0,73.0,2018-09-17
1784,5,59.3,2018-01-15
5218,25,56.2,2019-07-01
2405,54,1.0,2018-07-02
4338,95,51.8,2019-07-01
5218,12,72.9,2019-07-15
2508,46,47.6,2018-05-14
1115,19,85.9,2017-10-02
3784,80,60.8,2019-02-04
2621,47,24.0,2018-07-09
2318,6,81.3,2018-06-11
5545,81,53.3,2020-02-10
2444,7,17.4,2018-05-07
5095,99,93.4,2019-04-29
1422,63,1.4,2017-12-11
3480,49,60.0,2018-12-03
4440,26,38.0,2019-08-19
3814,83,52.9,2019-04-01
3852,76,2.5,2019-04-01
1358,6,43.9,2017-10-02
2107,48,78.8,2018-02-19
5563,77,59.4,2019-12-09
4062,74,59.5,2019-04-22
4691,21,66.4,2019-11-25
4630,68,64.2,2019-11-11
3603,93,82.6,2019-01-07
5394,79,92.1,2020-01-20
3919,8,88.1,2019-03-11
2477,6,8.5,2018-08-20
705,38,67.5,2017-04-24
5393,73,94.0,2020-01-13
1671,40,66.2,2017-12-18
3076,20,13.5,2018-10-08
1247,16,24.6,2017-10-09
3848,47,56.1,2019-04-01
2190,46,15.8,2018-04-30
5313,100,86.6,2019-06-24
720,29,46.6,2017-05-08
707,64,99.2,2017-07-03
4354,89,35.9,2019-08-05
4697,101,16.9,2019-10-14
4609,12,52.7,2019-09-09
5099,18,26.8,2019-06-17
3904,80,65.5,2019-03-11
1970,9,5.4,2018-01-29
5445,41,74.2,2019-11-11
2117,29,63.9,2018-04-02
2604,85,60.5,2018-08-27
1831,26,67.4,2017-12-11
2965,12,74.4,2018-09-10
2709,3,4.2,2018-07-30
4211,89,13.4,2019-08-26
850,22,79.5,2017-06-19
4307,30,85.1,2019-07-01
861,41,16.7,2017-06-26
3657,12,10.7,2019-02-18
891,56,12.1,2017-06-12
1140,69,90.1,2017-09-11
1241,1,51.3,2017-10-23
5245,59,17.1,2019-07-01
2877,53,84.3,2018-08-27
3932,76,84.1,2019-04-08
3738,52,65.0,2019-03-18
3466,41,72.8,2018-12-17
4221,72,76.6,2019-05-13
3550,99,5.6,2019-01-07
2614,66,51.3,2018-06-04
327,10,52.0,2017-02-27
3203,29,62.9,2018-10-08
5419,47,41.5,2019-12-23
1527,25,64.1,2017-10-09
957,22,5.7,2017-07-10
4228,44,1.7,2019-05-06
5334,79,20.1,2019-11-25
5395,42,21.3,2019-11-25
5121,56,77.3,2019-06-24
3085,81,37.7,2018-11-12
1347,39,50.9,2017-11-06
3417,80,86.9,2018-12-31
3332,56,88.7,2018-12-17
1707,18,64.3,2017-12-11
775,46,80.7,2017-06-05
4586,67,83.3,2019-10-21
3440,62,20.0,2018-12-17
1666,4,16.5,2017-12-04
2078,69,12.6,2018-03-05
5222,75,40.7,2019-07-29
3620,40,48.8,2019-02-18
5117,86,53.7,2019-04-29
5268,99,91.2,2019-07-01
5069,29,91.1,2020-01-06
1318,28,65.6,2017-09-11
5523,56,35.5,2019-11-25
5133,15,4.7,2019-05-20
5122,59,70.8,2019-06-10
5295,75,70.5,2019-05-27
3393,31,48.3,2018-11-05
4908,35,38.5,2019-10-28
4354,86,75.8,2019-07-15
2296,65,61.2,2018-05-21
1493,24,24.7,2017-10-09
4228,109,88.0,2019-06-03
3022,30,71.5,2018-09-24
1546,15,81.5,2017-10-09
5362,3,37.4,2019-12-16
1661,18,11.1,2018-01-01
5215,62,94.1,2019-06-17
5050,31,93.2,2019-11-11
2908,29,12.9,2018-09-17
2034,35,80.0,2018-04-02
1072,47,71.1,2017-09-11
3554,5,76.7,2018-12-10
4753,53,18.5,2019-10-14
5298,90,43.9,2019-06-24
5343,2,46.8,2019-11-18
4697,27,41.4,2019-11-04
881,42,66.5,2017-05-22
2333,2,33.7,2018-06-25
2648,9,31.4,2018-06-25
4385,101,31.6,2019-07-29
393,36,92.6,2017-03-20
3837,72,10.6,2019-03-11
1381,12,61.5,2017-11-13
4309,29,64.8,2019-06-17
1749,13,35.8,2018-01-15
1267,14,64.8,2017-09-04
4101,81,79.6,2019-04-15
4391,50,91.3,2019-07-15
3353,46,26.8,2018-10-22
639,64,40.8,2017-04-10
196,23,68.4,2017-03-27
1927,28,28.2,2018-01-08
3330,8,83.0,2019-01-14
5335,105,42.4,2019-12-02
5247,8,64.5,2019-06-17
5450,30,96.0,2019-12-09
5563,22,45.8,2020-01-20
2162,20,79.6,2018-05-14
3398,72,39.6,2018-11-19
4662,9,56.6,2019-09-30
876,48,8.9,2017-06-05
3255,20,74.6,2018-12-17
5304,15,20.1,2019-07-08
4687,75,92.3,2019-09-30
3931,76,73.1,2019-03-18
960,53,35.9,2017-06-26
2442,54,28.7,2018-05-07
4683,18,52.2,2019-09-23
2624,7,44.0,2018-06-04
4775,33,70.9,2019-10-21
861,8,99.7,2017-06-26
4220,46,41.4,2019-06-24
1574,10,37.5,2017-10-09
775,54,26.6,2017-07-10
387,21,89.7,2017-04-24
4215,83,88.8,2019-05-27
4985,117,65.9,2019-12-23
1808,46,76.1,2018-02-19
3562,12,19.0,2019-02-11
4744,108,84.6,2020-02-03
2653,68,8.1,2018-06-18
753,41,57.4,2017-07-10
752,65,24.2,2017-05-15
4743,85,65.0,2019-09-16
5048,81,67.7,2019-12-09
5404,94,45.3,2019-11-11
1589,42,49.6,2018-02-12
3466,80,59.6,2018-11-12
5379,4,6.0,2019-11-04
969,46,34.3,2017-08-14
2553,1,4.7,2018-07-23
3322,52,29.9,2018-11-26
3250,63,48.2,2018-11-05
3834,63,1.2,2019-03-25
2748,28,3.1,2018-07-23
870,33,27.8,2017-06-05
2127,3,71.1,2018-04-02
2437,69,89.8,2018-05-21
4260,69,82.1,2019-08-12
1419,43,34.9,2017-10-30
479,3,39.0,2017-04-24
4211,104,31.4,2019-05-27
5285,15,88.7,2019-08-05
2272,6,81.8,2018-04-16
4833,21,47.9,2019-11-25
5164,79,69.5,2019-05-13
4066,63,15.6,2019-04-22
2042,15,80.6,2018-04-09
2062,65,2.5,2018-04-16
4898,121,67.3,2019-11-25
4031,52,80.1,2019-03-11
5574,47,47.6,2020-01-13
821,1,98.3,2017-05-29
5061,31,31.7,2020-01-27
2010,23,65.3,2018-04-16
3554,21,61.8,2018-12-31
4255,77,14.0,2019-07-22
2258,16,83.7,2018-08-13
1386,54,65.5,2017-12-25
1605,10,3.5,2017-10-30
2614,56,48.4,2018-07-16
5358,20,80.2,2019-12-16
4801,14,92.5,2019-09-30
1780,48,90.6,2018-02-05
3933,72,71.9,2019-02-25
253,37,6.4,2017-03-27
2310,40,44.7,2018-04-30
405,6,74.3,2017-04-17
