sales_id,external_code,retail,season,category,color,image_path,fabric,release_date,restock,January,February,March,April,May,June,July,August,September,October,November,December
55,21,3,SS17,long sleeve,grey,PE17/00021.png,acrylic,2016-12-05,30,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
56,8,57,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,16,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
57,8,9,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,30,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
58,8,3,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,19,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
59,8,59,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,13,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
60,8,13,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,19,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
61,7,2,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,17,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
62,2,10,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,16,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0
63,7,22,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,26,4.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
64,17,26,SS17,short sleeves,red,PE17/00017.png,angora,2016-12-05,10,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0
65,2,18,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,73,4.0,2.0,6.0,3.0,3.0,5.0,6.0,1.0,5.0,7.0,0.0,0.0
66,9,62,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,27,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
67,2,8,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,32,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0
68,23,13,SS17,miniskirt,black,PE17/00023.png,faux leather,2016-12-05,21,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
69,7,46,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,24,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
70,7,36,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,16,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
71,9,30,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,37,5.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72,7,47,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,17,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
73,21,48,SS17,long sleeve,grey,PE17/00021.png,acrylic,2016-12-05,14,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
74,3,18,SS17,culottes,blue,PE17/00003.png,scuba crepe,2016-12-05,19,5.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3,12,SS17,culottes,blue,PE17/00003.png,scuba crepe,2016-12-05,10,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
76,37,10,SS17,sheath dress,black,PE17/00037.png,scuba crepe,2016-12-05,31,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
77,11,26,SS17,short sleeves,green,PE17/00011.png,angora,2016-12-05,15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0
78,15,46,SS17,short sleeves,yellow,PE17/00015.png,angora,2016-12-05,13,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
79,15,19,SS17,short sleeves,yellow,PE17/00015.png,angora,2016-12-05,21,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0
80,17,46,SS17,short sleeves,red,PE17/00017.png,angora,2016-12-05,13,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0
81,7,20,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,19,1.0,2.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
82,2,12,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,28,1.0,2.0,2.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0
83,4,9,SS17,long sleeve,yellow,PE17/00004.png,acrylic,2016-12-05,15,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
84,16,3,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,36,2.0,3.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
85,12,0,SS17,long sleeve,brown,PE17/00012.png,acrylic,2016-12-05,31,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
86,9,26,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,45,3.0,8.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
87,6,30,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,78,7.0,10.0,5.0,0.0,0.0,2.0,1.0,0.0,4.0,5.0,1.0,2.0
88,6,62,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,23,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
89,6,2,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,36,1.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
90,6,12,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,58,4.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,5.0,4.0,1.0,2.0
91,9,46,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,77,6.0,4.0,8.0,7.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,0.0
92,16,12,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,37,4.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,6,49,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,20,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
94,9,37,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,22,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
95,16,10,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,18,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
96,6,19,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,87,3.0,4.0,8.0,3.0,6.0,2.0,1.0,3.0,2.0,10.0,2.0,0.0
97,6,48,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,52,3.0,3.0,7.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0
98,6,43,SS17,long sleeve,grey,PE17/00006.png,acrylic,2016-12-05,63,1.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0
